"playerID","yearID","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","SBp","BB","SO","IBB","HBP","GIDP","SH","SF","OBP","SLG","BA","Kp","BBp","RBIp","GIDPp","Rp","SBr"
"abbotku01",1995,"FLO","NL",120,420,60,107,18,7,17,60,4,0.5714,36,110,4,5,6,2,5,0.31759656652360513,0.4524,0.2548,0.23504273504273504,0.07692307692307693,0.1429,0.014285714285714285,0.1429,0.02962962962962963
"alexama02",1995,"BAL","AL",94,242,35,57,9,1,3,23,11,0.7333,20,30,0,2,2,4,0,0.29924242424242425,0.3182,0.2355,0.11194029850746269,0.07462686567164178,0.0950,0.008264462809917356,0.1446,0.14473684210526316
"alfoned01",1995,"NYN","NL",101,335,26,93,13,5,4,41,1,0.5000,12,37,1,1,7,4,4,0.30113636363636365,0.3821,0.2776,0.10393258426966293,0.033707865168539325,0.1224,0.020895522388059702,0.0776,0.009708737864077669
"alicelu01",1995,"BOS","AL",132,419,64,113,20,3,6,44,13,0.5652,63,61,0,7,10,13,9,0.3674698795180723,0.3747,0.2697,0.11937377690802348,0.1232876712328767,0.1050,0.02386634844868735,0.1527,0.07344632768361582
"alomaro01",1995,"TOR","AL",130,517,71,155,24,7,13,66,30,0.9091,47,45,3,0,16,6,7,0.35376532399299476,0.4487,0.2998,0.0779896013864818,0.08145580589254767,0.1277,0.030947775628626693,0.1373,0.15625
"aloumo01",1995,"MON","NL",93,344,48,94,22,0,14,58,4,0.5714,29,56,6,9,9,0,4,0.34196891191709844,0.4593,0.2733,0.14507772020725387,0.07512953367875648,0.1686,0.02616279069767442,0.1395,0.03225806451612903
"amarari01",1995,"SEA","AL",90,238,45,67,14,2,2,19,21,0.9130,21,33,0,1,3,1,0,0.3423076923076923,0.3824,0.2815,0.12643678160919541,0.08045977011494253,0.0798,0.012605042016806723,0.1891,0.2413793103448276
"anderbr01",1995,"BAL","AL",143,554,108,145,33,10,16,64,26,0.7879,87,111,4,10,3,4,2,0.37059724349157736,0.4440,0.2617,0.1689497716894977,0.1324200913242009,0.1155,0.005415162454873646,0.1949,0.11304347826086956
"anderga01",1995,"CAL","AL",106,374,50,120,19,1,16,69,6,0.7500,19,65,4,1,8,2,4,0.35175879396984927,0.5053,0.3209,0.1625,0.0475,0.1845,0.0213903743315508,0.1337,0.046875
"andresh01",1995,"MON","NL",84,220,27,47,10,1,8,31,1,0.5000,17,68,2,1,4,1,2,0.2708333333333333,0.3773,0.2136,0.2821576763485477,0.07053941908713693,0.1409,0.01818181818181818,0.1227,0.01694915254237288
"ariasal01",1995,"FLO","NL",94,216,22,58,9,2,3,26,1,1.0000,22,20,1,2,8,3,3,0.3374485596707819,0.3704,0.2685,0.08130081300813008,0.08943089430894309,0.1204,0.037037037037037035,0.1019,0.0125
"ashlebi01",1995,"LAN","NL",81,215,17,51,5,0,8,27,0,NULL,25,88,4,2,8,0,2,0.319672131147541,0.3721,0.2372,0.36065573770491804,0.10245901639344263,0.1256,0.037209302325581395,0.0791,0
"ausmubr01",1995,"SDN","NL",103,328,44,96,16,4,5,34,16,0.7619,31,56,3,2,6,4,4,0.35342465753424657,0.4116,0.2927,0.15176151761517614,0.08401084010840108,0.1037,0.018292682926829267,0.1341,0.12598425196850394
"baergca01",1995,"CLE","AL",135,557,87,175,28,2,15,90,11,0.8462,35,31,6,3,15,0,5,0.355,0.4524,0.3142,0.051666666666666666,0.058333333333333334,0.1616,0.026929982046678635,0.1562,0.05392156862745098
"bagweje01",1995,"HOU","NL",114,448,88,130,29,0,21,87,12,0.7059,79,102,12,6,9,0,6,0.39888682745825604,0.4955,0.2902,0.18923933209647495,0.14656771799628943,0.1942,0.020089285714285716,0.1964,0.05825242718446602
"baineha01",1995,"BAL","AL",127,385,60,115,19,1,24,63,0,0.0000,70,45,13,0,17,0,4,0.40305010893246185,0.5403,0.2987,0.09803921568627451,0.15250544662309368,0.1636,0.04415584415584416,0.1558,0
"barbebr01",1995,"BAL","AL",90,237,32,57,14,0,2,25,3,0.5000,36,50,0,6,6,6,3,0.35106382978723405,0.3249,0.2405,0.1736111111111111,0.125,0.1055,0.02531645569620253,0.1350,0.030927835051546393
"basske01",1995,"BAL","AL",111,295,32,72,12,0,5,32,8,0.5000,24,47,0,2,15,4,2,0.30340557275541796,0.3356,0.2441,0.1437308868501529,0.07339449541284404,0.1085,0.05084745762711865,0.1085,0.08602150537634409
"batesja01",1995,"COL","NL",116,322,42,86,17,4,8,46,3,0.3333,42,70,3,2,4,2,0,0.3551912568306011,0.4193,0.2671,0.19021739130434784,0.11413043478260869,0.1429,0.012422360248447204,0.1304,0.024
"bautida01",1995,"DET","AL",89,271,28,55,9,0,7,27,4,0.8000,12,68,0,0,6,6,0,0.23674911660777384,0.3137,0.2030,0.23529411764705882,0.04152249134948097,0.0996,0.02214022140221402,0.1033,0.06666666666666667
"beckeri01",1995,"MIN","AL",106,392,45,93,15,1,2,33,8,0.4706,34,95,0,4,9,6,2,0.30324074074074076,0.2959,0.2372,0.21689497716894976,0.0776255707762557,0.0842,0.02295918367346939,0.1148,0.06201550387596899
"bellde01",1995,"HOU","NL",112,452,63,151,21,2,8,86,27,0.7500,33,71,2,8,10,0,6,0.3847695390781563,0.4425,0.3341,0.14228456913827656,0.06613226452905811,0.1903,0.022123893805309734,0.1394,0.14516129032258066
"belleal01",1995,"CLE","AL",143,546,121,173,52,1,50,126,5,0.7143,73,80,5,6,24,0,4,0.40063593004769477,0.6905,0.3168,0.1271860095389507,0.11605723370429252,0.2308,0.04395604395604396,0.2216,0.024154589371980676
"bellja01",1995,"PIT","NL",138,530,79,139,28,4,13,55,2,0.2857,55,110,1,4,13,3,1,0.33559322033898303,0.4038,0.2623,0.18549747048903878,0.09274873524451939,0.1038,0.024528301886792454,0.1491,0.010752688172043012
"berroge01",1995,"OAK","AL",141,546,87,152,22,3,22,88,7,0.6364,63,98,2,1,12,0,6,0.35064935064935066,0.4505,0.2784,0.1590909090909091,0.10227272727272728,0.1612,0.02197802197802198,0.1593,0.03571428571428571
"berryse01",1995,"MON","NL",103,314,38,100,22,1,14,55,3,0.2727,25,53,1,2,5,2,5,0.3670520231213873,0.5287,0.3185,0.15229885057471265,0.07183908045977011,0.1752,0.01592356687898089,0.1210,0.02631578947368421
"bicheda01",1995,"COL","NL",139,579,102,197,38,2,40,128,13,0.5909,22,96,5,4,16,0,7,0.36437908496732024,0.6200,0.3402,0.1568627450980392,0.03594771241830065,0.2211,0.027633851468048358,0.1762,0.06914893617021277
